num_season,tribe,iter_num,num_contestants,merge,african_american,asian_american,latin_american,poc,jewish,muslim,lgbt,male,female,non_binary,color
6,Jaburu,2.0,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,3,0,Yellow/Gold
6,Jacaré,0.0,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6,4,0,Red
7,Morgan,1.0,8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4,4,0,Orange
7,Drake,1.0,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4,4,0,Blue/Teal
7,Balboa,0.0,10,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5,5,0,Black
8,Saboga,1.0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,0,Yellow/Gold
8,Mogo Mogo,1.0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3,3,0,Green
8,Chapera,1.0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,0,Red
8,Mogo Mogo,2.0,7,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4,3,0,Green
8,Chapera,2.0,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4,0,Red
8,Chapera,3.0,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4,0,Red
8,Mogo Mogo,3.0,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,2,0,Green
8,Chaboga Mogo,0.0,9,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4,5,0,Blue/Teal
9,Lopevi,1.0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9,0,0,Red
9,Yasur,1.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0,9,0,Yellow/Gold
9,Yasur,2.0,7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2,5,0,Yellow/Gold
9,Lopevi,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,Red
9,Alinta,0.0,10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4,6,0,Orange
10,,1.0,0,0.0,,,,,,,,0,0,0,Orange
10,Ulong,1.0,9,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,4,5,0,Blue/Teal
10,Koror,1.0,9,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5,4,0,Brown
10,Koror,0.0,9,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4,5,0,Brown
11,Nakúm,1.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,Yellow/Gold
11,Yaxhá,1.0,9,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4,5,0,Blue/Teal
11,Nakúm,2.0,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,5,0,Yellow/Gold
11,Yaxhá,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,2,0,Blue/Teal
11,Xhakúm,0.0,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6,4,0,Red
12,Casaya,1.0,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4,0,Purple
12,Bayoneta,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,Blue/Teal
12,Viveros,1.0,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0,0,Green
12,La Mina,1.0,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,0,0,Orange
12,Casaya,2.0,8,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,4,4,0,Purple
12,La Mina,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,Orange
12,Gitanos,0.0,10,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,6,4,0,Black
13,Manihiki,1.0,5,0.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,2,3,0,Yellow/Gold
13,Aitutaki,1.0,5,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,3,2,0,Red
13,Puka Puka,1.0,5,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,3,2,0,Green
13,Rarotonga,1.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,3,0,Blue/Teal
13,Aitutaki,2.0,9,0.0,1.0,3.0,2.0,6.0,1.0,0.0,1.0,4,5,0,Red
13,Rarotonga,2.0,9,0.0,3.0,2.0,3.0,7.0,0.0,0.0,2.0,4,5,0,Blue/Teal
13,Rarotonga,3.0,8,0.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,4,4,0,Blue/Teal
13,Aitutaki,3.0,4,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,2,2,0,Red
13,Aitutonga,0.0,9,1.0,2.0,2.0,2.0,5.0,1.0,0.0,1.0,5,4,0,Black
14,Ravu,1.0,10,0.0,3.0,4.0,1.0,8.0,0.0,0.0,0.0,5,5,0,Orange
14,Moto,1.0,9,0.0,2.0,1.0,4.0,7.0,0.0,0.0,0.0,5,4,0,Green
14,Ravu,2.0,6,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,5,1,0,Orange
14,Moto,2.0,7,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,4,3,0,Green
14,Bula Bula,0.0,10,1.0,3.0,4.0,2.0,9.0,0.0,0.0,0.0,7,3,0,Purple
15,Zhan Hu,1.0,8,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,4,4,0,Yellow/Gold
15,Fei Long,1.0,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4,4,0,Red
15,Zhan Hu,2.0,5,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3,2,0,Yellow/Gold
15,Fei Long,2.0,7,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3,4,0,Red
15,Hae Da Fung,0.0,10,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,5,5,0,Black
16,Malakal,1.0,10,0.0,2.0,1.0,1.0,4.0,2.0,0.0,2.0,5,5,0,Purple
16,Airai,1.0,10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,5,5,0,Orange
16,Malakal,2.0,8,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,4,4,0,Purple
16,Airai,2.0,8,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,3,5,0,Orange
16,Dabu,0.0,10,1.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,4,6,0,Green
17,Fang,1.0,9,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,5,4,0,Red
17,Kota,1.0,9,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,4,5,0,Yellow/Gold
17,Fang,2.0,8,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,4,4,0,Red
17,Kota,2.0,7,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,5,2,0,Yellow/Gold
17,Kota,3.0,5,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,3,2,0,Yellow/Gold
17,Fang,3.0,5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3,2,0,Red
17,Nobag,0.0,9,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,5,4,0,Blue/Teal
18,Jalapao,1.0,8,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,4,4,0,Red
18,Timbira,1.0,8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4,4,0,Black
18,Forza,0.0,10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6,4,0,Green
19,Foa Foa,1.0,10,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5,5,0,Yellow/Gold
19,Galu,1.0,10,0.0,2.0,0.0,3.0,5.0,0.0,0.0,1.0,5,5,0,Purple
19,Aiga,0.0,12,1.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,7,5,0,Blue/Teal
20,Heroes,1.0,10,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5,5,0,Blue/Teal
20,Villains,1.0,10,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5,5,0,Red
20,Yin Yang,0.0,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4,6,0,Black
21,Espada,1.0,10,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5,5,0,Blue/Teal
21,La Flor,1.0,10,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,5,5,0,Yellow/Gold
21,Espada,2.0,8,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,4,4,0,Blue/Teal
21,La Flor,2.0,8,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3,5,0,Yellow/Gold
21,Libertad,0.0,12,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,6,6,0,Red
22,Ometepe,1.0,9,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4,5,0,Orange
22,Zapatera,1.0,9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5,4,0,Purple
22,Murlonio,0.0,12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8,4,0,Black
23,Savaii,1.0,9,0.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,5,4,0,Red
23,Upolu,1.0,9,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,4,5,0,Blue/Teal
23,Te Tuna,0.0,12,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,8,4,0,Yellow/Gold
24,Salani,1.0,9,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0,9,0,Blue/Teal
24,Manono,1.0,9,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,9,0,0,Orange
24,Manono,2.0,7,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,4,3,0,Orange
24,Salani,2.0,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,4,0,Blue/Teal
24,Tikiano,0.0,12,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,6,6,0,Black
25,Matsing,1.0,6,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3,3,0,Blue/Teal
25,Kalabaw,1.0,6,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3,3,0,Red
25,Tandang,1.0,6,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3,3,0,Yellow/Gold
25,Kalabaw,2.0,7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3,4,0,Red
25,Tandang,2.0,7,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4,3,0,Yellow/Gold
25,Dangrayne,0.0,11,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,7,4,0,Black
26,Bikal,1.0,11,0.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,5,6,0,Purple
26,Gota,1.0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,4,0,Orange
26,Bikal,2.0,8,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4,4,0,Purple
26,Gota,2.0,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2,0,Orange
26,Enil Edam,0.0,12,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,7,5,0,Green
27,Galang,1.0,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,5,0,Yellow/Gold
27,Tadhana,1.0,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,5,0,Red
27,Galang,2.0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4,5,0,Yellow/Gold
27,Tadhana,2.0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,4,0,Red
27,Galang,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,Yellow/Gold
27,Tadhana,3.0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,1,0,Red
27,Kasama,0.0,11,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6,5,0,Purple
28,Luzon,1.0,6,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3,3,0,Green
28,Solana,1.0,6,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3,3,0,Purple
28,Aparri,1.0,6,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3,3,0,Orange
28,Solana,2.0,7,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4,3,0,Purple
28,Aparri,2.0,7,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2,5,0,Orange
28,Solarrion,0.0,11,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5,6,0,Black
29,Coyopa,1.0,9,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5,4,0,Orange
29,Hunahpu,1.0,9,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5,4,0,Blue/Teal
29,Coyopa,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0,Orange
29,Hunahpu,2.0,7,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,5,2,0,Blue/Teal
29,Huyopa,0.0,12,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,7,5,0,Green
30,Masaya,1.0,7,0.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,4,3,0,Yellow/Gold
30,Nagarote,1.0,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,3,0,Red
30,Escameca,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4,0,Blue/Teal
30,Nagarote,2.0,7,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2,5,0,Red
30,Escameca,2.0,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5,2,0,Blue/Teal
30,Merica,0.0,12,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5,7,0,Black
31,Ta Keo,1.0,11,0.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,5,6,0,Green
31,Bayon,1.0,9,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,5,4,0,Magenta
31,Angkor,2.0,5,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,3,2,0,Yellow/Gold
31,Bayon,2.0,7,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,3,4,0,Magenta
31,Ta Keo,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,Green
31,Ta Keo,3.0,8,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3,5,0,Green
31,Bayon,3.0,6,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4,2,0,Magenta
31,Orkun,0.0,13,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,6,7,0,Orange
32,To Tang,1.0,6,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3,3,0,Red
32,Chan Loh,1.0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,0,Blue/Teal
32,Gondol,1.0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3,3,0,Yellow/Gold
32,Gondol,2.0,7,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,4,3,0,Yellow/Gold
32,Chan Loh,2.0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,0,Blue/Teal
32,Dara,0.0,11,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,6,5,0,Black
33,Takali,1.0,9,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,4,5,0,Purple
33,Vanua,1.0,11,0.0,1.0,1.0,2.0,4.0,3.0,0.0,1.0,6,5,0,Orange
33,Vanua,2.0,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3,2,0,Orange
33,Takali,2.0,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,2,0,Purple
33,Ikabula,2.0,7,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,4,3,0,Green
33,Vinaka,0.0,13,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,9,4,0,Black
34,Mana,1.0,10,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5,5,0,Orange
34,Nuku,1.0,10,0.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,5,5,0,Blue/Teal
34,Mana,2.0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3,3,0,Orange
34,Nuku,2.0,6,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3,3,0,Blue/Teal
34,Tavua,2.0,6,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3,3,0,Green
34,Nuku,3.0,8,0.0,0.0,1.0,2.0,3.0,1.0,0.0,4.0,4,4,0,Blue/Teal
34,Mana,3.0,7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2,5,0,Orange
34,Maku Maku,0.0,13,1.0,2.0,1.0,1.0,4.0,1.0,0.0,3.0,5,8,0,Yellow/Gold
35,Levu,1.0,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,0,Blue/Teal
35,Yawa,1.0,6,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,3,3,0,Red
35,Soko,1.0,6,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3,3,0,Yellow/Gold
35,Levu,2.0,5,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,3,2,0,Blue/Teal
35,Soko,2.0,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,0,Yellow/Gold
35,Yawa,2.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,2,0,Red
35,Solewa,0.0,12,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,7,5,0,Purple
36,Malolo,1.0,10,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,5,5,0,Orange
36,Naviti,1.0,10,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5,5,0,Purple
36,Naviti,2.0,9,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,5,4,0,Purple
36,Malolo,2.0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5,0,Orange
36,Malolo,3.0,5,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2,3,0,Orange
36,Naviti,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,0,Purple
36,Yanuya,3.0,5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3,2,0,Green
36,Lavita,0.0,13,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,6,7,0,Black
37,David,1.0,10,0.0,2.0,2.0,1.0,5.0,0.0,0.0,1.0,5,5,0,Blue/Teal
37,Goliath,1.0,10,0.0,2.0,1.0,1.0,4.0,0.0,1.0,2.0,5,5,0,Purple
37,Vuku,2.0,6,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,3,3,0,Blue/Teal
37,Jabeni,2.0,5,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,2,3,0,Purple
37,Tiva,2.0,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,2,0,Green
37,Kalokalo,0.0,13,1.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,8,5,0,Blue/Teal
38,Manu,1.0,9,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,5,4,0,Blue/Teal
38,Kama,1.0,9,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,4,5,0,Yellow/Gold
38,Manu,2.0,5,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2,3,0,Blue/Teal
38,Kama,2.0,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2,3,0,Yellow/Gold
38,Lesu,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,Green
38,Vata,0.0,14,1.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,8,6,0,Red
39,Lairo,1.0,10,0.0,3.0,3.0,0.0,5.0,1.0,0.0,3.0,5,5,0,Orange
39,Vokai,1.0,10,0.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,5,5,0,Purple
39,Lairo,2.0,8,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,4,4,0,Orange
39,Vokai,2.0,8,0.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,4,4,0,Purple
39,Lumuwaku,0.0,13,1.0,4.0,3.0,1.0,7.0,0.0,0.0,2.0,5,8,0,Blue/Teal
40,Dakal,1.0,10,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5,5,0,Red
40,Sele,1.0,10,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,5,5,0,Blue/Teal
40,Yara,2.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,2,0,Green
40,Dakal,2.0,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,0,Red
40,Sele,2.0,5,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3,2,0,Blue/Teal
40,Koru,0.0,13,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,7,6,0,Black
41,Yase,1.0,6,0.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,3,2,1,Yellow/Gold
41,Ua,1.0,6,0.0,2.0,1.0,1.0,4.0,0.0,0.0,2.0,3,3,0,Green
41,Luvu,1.0,6,0.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0,3,3,0,Blue/Teal
41,Viakana,0.0,12,1.0,4.0,2.0,1.0,7.0,4.0,1.0,2.0,5,6,1,Red
42,Taku,1.0,6,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,3,3,0,Orange
42,Ika,1.0,6,0.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,3,3,0,Blue/Teal
42,Vati,1.0,6,0.0,1.0,2.0,1.0,4.0,0.0,0.0,3.0,3,3,0,Green
42,Kula Kula,0.0,12,1.0,4.0,2.0,2.0,8.0,1.0,1.0,4.0,6,6,0,Purple
